"","x"
"1",0.672761844159864
"2",0.740102066717419
"3",0.667947372300977
"4",0.71519481238741
"5",0.682381361958085
"6",0.657199223029521
"7",0.752950923658792
"8",0.636510571927447
"9",0.710570780679606
"10",0.67864647316234
"11",0.776414575606124
"12",0.738517888847959
"13",0.582874575081623
"14",0.818610251039323
"15",0.623731436673092
"16",0.756802376396854
"17",0.607795964953026
"18",0.658386766240332
"19",0.684084752615924
"20",0.73070825370481
"21",0.674031079051423
"22",0.674651167718036
"23",0.612274139196498
"24",0.686963182340054
"25",0.734410756510735
"26",0.599609407460518
"27",0.807101971179977
"28",0.684623900381448
"29",0.740016404392201
"30",0.837571251589811
"31",0.680851968601796
"32",0.69494638236931
"33",0.705329785640279
"34",0.645395596298147
"35",0.676825435830673
"36",0.743932221496689
"37",0.683716104709936
"38",0.653945815770403
"39",0.777285133120124
"40",0.685981569503248
"41",0.719854327961016
"42",0.590240334080861
"43",0.714402355280246
"44",0.708895542842385
"45",0.69838233277621
"46",0.705322312303073
"47",0.789796304055776
"48",0.662394583242596
"49",0.606080479219928
"50",0.738693244480434
"51",0.716538389143999
"52",0.616162271519241
"53",0.737458327799768
"54",0.661352165228556
"55",0.610477911921564
"56",0.687732413403538
"57",0.568580989057919
"58",0.709737693348392
"59",0.706298391190764
"60",0.723008547949095
"61",0.665742924215656
"62",0.606797478769852
"63",0.709636233354535
"64",0.789674911244261
"65",0.665229484536152
"66",0.718553747819024
"67",0.75975003001496
"68",0.718726484415524
"69",0.700983179432955
"70",0.752605307754818
"71",0.691742098770819
"72",0.671749568412212
"73",0.718038488484143
"74",0.672152987316959
"75",0.680752583243918
"76",0.604775419636033
"77",0.654886203877313
"78",0.745914693488542
"79",0.764254899127615
"80",0.624207154475088
"81",0.714059852143199
"82",0.640186724084352
"83",0.663102934620872
"84",0.729434019104302
"85",0.642403092798824
"86",0.656565210423487
"87",0.71496214749565
"88",0.70921813448372
"89",0.70037023406092
"90",0.621611790636697
"91",0.742582179076267
"92",0.693467033959677
"93",0.741476750724394
"94",0.58795875126279
"95",0.730194511605707
"96",0.667097793231152
"97",0.687556610145108
"98",0.666422409572805
"99",0.619261009315339
"100",0.73643103057473
