"","x"
"1",0.769366154938589
"2",0.635004688396602
"3",0.741861176711906
"4",0.749719180262334
"5",0.729234605767815
"6",0.758558198617117
"7",0.738717208714437
"8",0.617764096333872
"9",0.710571693251778
"10",0.611807958330424
"11",0.681098215616756
"12",0.684419398061706
"13",0.62008667793632
"14",0.750651754038751
"15",0.731216829792757
"16",0.641851737179648
"17",0.84465413937964
"18",0.692529751990627
"19",0.595550170979385
"20",0.593561218645666
"21",0.749988415163042
"22",0.758868059156633
"23",0.695795183194095
"24",0.65331992905522
"25",0.694726201292636
"26",0.667476791235554
"27",0.748831712341865
"28",0.687901737219476
"29",0.627800407909791
"30",0.575984270835021
"31",0.709913180762552
"32",0.615300512411246
"33",0.69607384892815
"34",0.71165578635155
"35",0.529613116002767
"36",0.682897524743217
"37",0.902381470518531
"38",0.6840308176895
"39",0.757051740694222
"40",0.69480030638239
"41",0.71577108782378
"42",0.711959467644496
"43",0.698885281999688
"44",0.745394997677302
"45",0.714500914558565
"46",0.584940829979759
"47",0.722664549616052
"48",0.715202488561322
"49",0.611753634017195
"50",0.706165273505357
"51",0.608977665619337
"52",0.675647621393696
"53",0.662578441127076
"54",0.536488059157279
"55",0.693296992194455
"56",0.711396712388028
"57",0.713854178447694
"58",0.64509144689967
"59",0.70107175565134
"60",0.715913996709504
"61",0.723698034869974
"62",0.661070330167332
"63",0.655477738698878
"64",0.699942593410949
"65",0.759454531982589
"66",0.619444823342969
"67",0.726045510558958
"68",0.776046844874644
"69",0.73147028018799
"70",0.650423387499671
"71",0.673221337851195
"72",0.639194131216604
"73",0.659474540802155
"74",0.634041059861214
"75",0.596335326896718
"76",0.711506911334163
"77",0.736184581428272
"78",0.729784579124199
"79",0.725946087657818
"80",0.663786577441293
"81",0.744419352932686
"82",0.647213956966842
"83",0.701635366559181
"84",0.61180631101569
"85",0.756193788655811
"86",0.838166527871938
"87",0.67243363993864
"88",0.632683090767263
"89",0.656371069263436
"90",0.643729630825323
"91",0.65913832608574
"92",0.670562140114554
"93",0.670797356871871
"94",0.639395269094568
"95",0.624865411118144
"96",0.68372303724896
"97",0.72216345161328
"98",0.649847560042118
"99",0.555031877056391
"100",0.668585768027878
