"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths_an_c","death_min_an_c","death_max_an_c","estimated_deaths","death_min","death_max","rt","rt_min","rt_max"
"1",2020-02-14,"Switzerland",0,0,22.5520319921791,8.22144907094797,42.2897112444642,22.5520319921791,8.22144907094797,42.2897112444642,0,0,2.25520319921791e-14,8.22144907094797e-15,4.22897112444642e-14,5.17665257033991e-16,1.28976555500172e-16,9.70564964582951e-16,2.25520319921791e-14,8.22144907094797e-15,4.22897112444642e-14,4.04148742846159,3.46450045089538,4.80832838436014
"2",2020-02-15,"Switzerland",0,0,45.1040639843581,16.4428981418959,84.5794224889285,22.5520319921791,8.22144907094797,42.2897112444642,0,0,2.70272157044685e-07,9.51488105861301e-08,5.28825727183219e-07,2.70272135010319e-07,9.51488024936576e-08,5.28825685864073e-07,2.70272134492653e-07,9.5148802364681e-08,5.28825684893508e-07,4.04148742846159,3.46450045089538,4.80832838436014
"3",2020-02-16,"Switzerland",0,0,67.6560959765372,24.6643472128439,126.869133733393,22.5520319921791,8.22144907094797,42.2897112444642,0,0,7.16221158660735e-06,2.5214432708855e-06,1.40138806919677e-05,7.16221156457298e-06,2.52144326279302e-06,1.40138806506485e-05,6.89193942956266e-06,2.42629446029937e-06,1.34850549647845e-05,4.04148742846159,3.46450045089538,4.80832838436014
"4",2020-02-17,"Switzerland",0,0,90.2081279687163,32.8857962837919,169.158844977857,22.5520319921791,8.22144907094797,42.2897112444642,0,0,5.50904701033045e-05,1.93944975568889e-05,0.000107792302146416,5.50904700812702e-05,1.93944975487965e-05,0.000107792302105097,4.79282585166972e-05,1.68730542860034e-05,9.37784214544488e-05,4.04148742846159,3.46450045089538,4.80832838436014
"5",2020-02-18,"Switzerland",0,0,112.760159960895,41.1072453547398,211.448556222321,22.5520319921791,8.22144907094797,42.2897112444642,0,0,0.000243087262320819,8.55784186683883e-05,0.000475634634796926,0.000243087262298785,8.55784186602958e-05,0.000475634634755607,0.000187996792217515,6.61839211114994e-05,0.000367842332650509,4.04148742846159,3.46450045089538,4.80832838436014
"6",2020-02-19,"Switzerland",0,0,135.312191953074,49.3286944256878,253.738267466785,22.5520319921791,8.22144907094797,42.2897112444642,0,0,0.000778000861837529,0.00027389375668182,0.00152226880281533,0.000778000861815495,0.000273893756673727,0.00152226880277401,0.00053491359951671,0.000188315338013431,0.0010466341680184,4.04148742846159,3.46450045089538,4.80832838436014
"7",2020-02-20,"Switzerland",0,0,182.421623469105,70.6771281379104,333.944680723023,47.1094315160305,21.3484337122226,80.2064132562374,0,0,0.00201150036098413,0.00070814496160736,0.00393578515986222,0.00201150036096209,0.000708144961599268,0.00393578515982091,0.0012334994991466,0.00043425120492554,0.0024135163570469,4.04142610273138,3.46440457982573,4.80830565424307
"8",2020-02-21,"Switzerland",0,0,239.81823012777,97.0258212999355,431.112742699417,57.396606658665,26.3486931620251,97.168061976394,0,0,0.00446012223729862,0.00157022234168476,0.0087267546518248,0.00446012223727659,0.00157022234167667,0.00872675465178348,0.0024486218763145,0.000862077380077404,0.00479096949196258,4.04140462876483,3.46437515059178,4.80829595370727
"9",2020-02-22,"Switzerland",0,0,311.614614940469,131.232732721938,550.630432936885,71.7963848126991,34.2069114220021,119.517690237469,0,0,0.00878451103204577,0.003093766286993,0.0171853056791211,0.00878451103202373,0.00309376628698491,0.0171853056790798,0.00432438879474715,0.00152354394530823,0.00845855102729632,4.04137845635772,3.46433955704483,4.80828398140992
"10",2020-02-23,"Switzerland",0,0,402.96182954398,176.774113136622,699.549909095563,91.3472146035112,45.5413804146842,148.919476158678,0,0,0.0158436908362499,0.00558722139120449,0.0309733674073702,0.0158436908362278,0.0055872213911964,0.0309733674073288,0.00705917980420411,0.00249345510421149,0.013788061728249,4.04134568386459,3.46429599481611,4.80826843964895
