"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths_an_c","death_min_an_c","death_max_an_c","estimated_deaths","death_min","death_max","rt","rt_min","rt_max"
"1",2020-02-21,"Portugal",0,0,37.7943784648061,17.2426128160182,75.5111426363399,37.7943784648061,17.2426128160182,75.5111426363399,0,0,3.77943784648061e-14,1.72426128160182e-14,7.55111426363399e-14,5.66101779335063e-16,1.15600547272082e-16,9.89245992382129e-16,3.77943784648061e-14,1.72426128160182e-14,7.55111426363399e-14,4.58591212353065,3.81066087607456,5.39380412184503
"2",2020-02-22,"Portugal",0,0,75.5887569296122,34.4852256320363,151.02228527268,37.7943784648061,17.2426128160182,75.5111426363399,0,0,5.32784218834152e-07,2.42242103476098e-07,1.05981318262233e-06,5.32784181605875e-07,2.42242086349086e-07,1.05981310810043e-06,5.32784181039774e-07,2.42242086233485e-07,1.05981310711119e-06,4.58591212353065,3.81066087607456,5.39380412184503
"3",2020-02-23,"Portugal",0,0,113.383135394418,51.7278384480545,226.53342790902,37.7943784648061,17.2426128160182,75.5111426363399,0,0,1.41187808353484e-05,6.41941530242998e-06,2.80850474139576e-05,1.41187807981201e-05,6.41941528530296e-06,2.80850473394357e-05,1.35859966165142e-05,6.17717319895388e-06,2.70252342313353e-05,4.58591212353065,3.81066087607456,5.39380412184503
"4",2020-02-24,"Portugal",0,0,151.177513859224,68.9704512640727,302.04457054536,37.7943784648061,17.2426128160182,75.5111426363399,0,0,0.000108599175606402,4.93770119278347e-05,0.000216025238408341,0.000108599175569173,4.93770119107077e-05,0.000216025238333819,9.44803947710532e-05,4.29575966254047e-05,0.000187940190994384,4.58591212353065,3.81066087607456,5.39380412184503
"5",2020-02-25,"Portugal",0,0,188.97189232403,86.2130640800908,377.5557131817,37.7943784648061,17.2426128160182,75.5111426363399,0,0,0.000479194972201317,0.000217876569743743,0.000953213572163098,0.000479194972164089,0.000217876569726616,0.000953213572088576,0.000370595796594916,0.000168499557815909,0.000737188333754756,4.58591212353065,3.81066087607456,5.39380412184503
"6",2020-02-26,"Portugal",0,0,226.766270788836,103.455676896109,453.06685581804,37.7943784648061,17.2426128160182,75.5111426363399,0,0,0.00153366366384254,0.00069731403208085,0.00305076034665399,0.00153366366380531,0.000697314032063723,0.00305076034657947,0.00105446869164122,0.000479437462337107,0.00209754677449089,4.58591212353065,3.81066087607456,5.39380412184503
"7",2020-02-27,"Portugal",0,0,316.234740499989,150.51565374651,622.728398737322,89.4684697111524,47.0599768504014,169.661542919282,0,0,0.00396524626742631,0.00180288672680996,0.00788765904975052,0.00396524626738908,0.00180288672679283,0.007887659049676,0.00243158260358377,0.00110557269472911,0.00483689870309653,4.58581326907947,3.81051034960428,5.39372511245093
"8",2020-02-28,"Portugal",0,0,426.125278287969,208.714374055009,830.30949243462,109.89053778798,58.1987203084984,207.581093697298,0,0,0.00879233078844251,0.00399772996781429,0.0174893987243842,0.00879233078840528,0.00399772996779716,0.0174893987243097,0.0048270845210162,0.00219484324100433,0.00960173967463367,4.58577391533297,3.81045944607962,5.39368727234353
"9",2020-02-29,"Portugal",0,0,566.848812627747,284.651987538454,1090.76732773885,140.723534339779,75.937613483445,260.457835304234,0,0,0.0173207108448312,0.0078779986423154,0.0344466501487636,0.017320710844794,0.00787799864229827,0.034446650148689,0.00852838005638872,0.00388026867450111,0.0169572514243794,4.58572554973198,3.8103975533521,5.39364016306292
"10",2020-03-01,"Portugal",0,0,751.169198415572,386.32384594852,1422.69706211751,184.320385787825,101.671858410066,331.929734378659,0,0,0.0312634794254766,0.0142365127226092,0.0621284238722321,0.0312634794254394,0.014236512722592,0.0621284238721576,0.0139427685806454,0.00635851408029377,0.0276817737234686,4.58566350759725,3.81032059778519,5.39357751330378
