"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths_an_c","death_min_an_c","death_max_an_c","estimated_deaths","death_min","death_max","rt","rt_min","rt_max"
"1",2020-02-18,"Sweden",0,0,172.126576723126,68.5973543703696,323.350177181871,172.126576723126,68.5973543703696,323.350177181871,0,0,1.72126576723126e-13,6.85973543703696e-14,3.23350177181871e-13,5.58210817976915e-16,1.34898671584104e-16,9.70164324064568e-16,1.72126576723126e-13,6.85973543703696e-14,3.23350177181871e-13,2.3626253381193,2.00820760672271,2.88844136393182
"2",2020-02-19,"Sweden",0,0,344.253153446253,137.194708740739,646.700354363743,172.126576723126,68.5973543703696,323.350177181871,0,0,3.9627688167183e-06,1.62635171280394e-06,7.1689683674505e-06,3.96276864514994e-06,1.62635164434149e-06,7.16896804507049e-06,3.96276864459173e-06,1.62635164420659e-06,7.16896804410033e-06,2.3626253381193,2.00820760672271,2.88844136393182
"3",2020-02-20,"Sweden",0,0,516.379730169379,205.792063111109,970.050531545614,172.126576723126,68.5973543703696,323.350177181871,0,0,6.28639209431499e-05,2.57998511516928e-05,0.000113725902477487,6.28639207715815e-05,2.57998510832303e-05,0.000113725902155107,5.89011521264316e-05,2.41734994388888e-05,0.000106556934110037,2.3626253381193,2.00820760672271,2.88844136393182
"4",2020-02-21,"Sweden",0,0,688.506306892505,274.389417481478,1293.40070872749,172.126576723126,68.5973543703696,323.350177181871,0,0,0.000446712101926103,0.000183334185415522,0.000808138216203751,0.000446712101754535,0.000183334185347059,0.000808138215881371,0.000383848180982953,0.000157534334263829,0.000694412313726263,2.3626253381193,2.00820760672271,2.88844136393182
"5",2020-02-22,"Sweden",0,0,860.632883615631,342.986771851848,1616.75088590936,172.126576723126,68.5973543703696,323.350177181871,0,0,0.00196985626822918,0.000808444617388744,0.00356362884260886,0.00196985626805761,0.000808444617320282,0.00356362884228648,0.00152314416630307,0.000625110431973223,0.00275549062640511,2.3626253381193,2.00820760672271,2.88844136393182
"6",2020-02-23,"Sweden",0,0,1032.75946033876,411.584126222218,1940.10106309123,172.126576723126,68.5973543703696,323.350177181871,0,0,0.00627126150608602,0.00257377540210026,0.0113452177922959,0.00627126150591445,0.00257377540203179,0.0113452177919736,0.00430140523785684,0.00176533078471151,0.00778158894968708,2.3626253381193,2.00820760672271,2.88844136393182
"7",2020-02-24,"Sweden",0,0,1242.27604370662,519.497346136619,2294.82460661226,209.516583367862,107.913219914401,354.723543521027,0,0,0.0161169403294216,0.00661451998720626,0.029156844760047,0.0161169403292501,0.0066145199871378,0.0291568447597246,0.00984567882333563,0.004040744585106,0.0178116269677511,2.36239158716496,2.00788818626483,2.88830640004654
"8",2020-02-25,"Sweden",0,0,1491.23784900142,648.39169023966,2714.53450422946,248.961805294798,128.89434410304,419.709897617203,0,0,0.0356796405566956,0.014643842433916,0.0645464471624655,0.0356796405565241,0.0146438424338475,0.0645464471621432,0.019562700227274,0.00802932244670974,0.0353896024024185,2.36234379188826,2.00783136869318,2.88827182075051
"9",2020-02-26,"Sweden",0,0,1779.68932986545,800.192304366339,3194.32023168829,288.451480864028,151.80061412668,479.785727458834,0,0,0.0701568850886801,0.0288031745162669,0.126904981726385,0.0701568850885085,0.0288031745161985,0.126904981726062,0.0344772445319844,0.0141593320823509,0.062358534563919,2.36228698134793,2.00776416638635,2.88823036120705
"10",2020-02-27,"Sweden",1,1,2111.08003007971,978.606742678787,3735.08845315878,331.390700214266,178.414438312448,540.768221470483,0,0,0.126144423089988,0.0518450005391326,0.228100422894393,0.126144423089816,0.0518450005390641,0.228100422894071,0.0559875380013077,0.0230418260228656,0.101195441168008,2.36222109684525,2.00768745953057,2.88818095170007
"11",2020-02-28,"Sweden",5,6,2491.08102258681,1188.41069337833,4341.78638477034,380.000992507102,209.803950699541,606.69793161156,0,0,0.211175890405472,0.0870059678724737,0.381558394652898,0.2111758904053,0.0870059678724052,0.381558394652576,0.0850314673154842,0.0351609673333411,0.153457971758505,2.36214530216634,2.00760120687382,2.88812193328991
"12",2020-02-29,"Sweden",5,11,2926.86406690318,1435.274126169,5021.7773118101,435.783044316369,246.863432790671,679.990927039762,0,0,0.333683195721905,0.138063957703905,0.602091391103113,0.333683195721733,0.138063957703837,0.602091391102791,0.122507305316433,0.0510579898314316,0.220532996450215,2.36205825622689,2.00750470271892,2.88805129652285
"13",2020-03-01,"Sweden",1,12,3426.85755459243,1725.8325132371,5790.29813066948,499.993487689243,290.558387068097,768.520818859385,0,0,0.502860368399848,0.209378450823912,0.905518716444615,0.502860368399677,0.209378450823844,0.905518716444292,0.169177172677944,0.071314493120007,0.303427325341502,2.36195827243723,2.00739685386449,2.88796667803636
"14",2020-03-02,"Sweden",1,13,4000.77981032534,2067.85891150783,6659.7558368062,573.922255732914,342.02639827073,869.457706136713,0,0,0.728519262869214,0.305929541383238,1.30823751005518,0.728519262869043,0.305929541383169,1.30823751005486,0.225658894469366,0.0965510905593252,0.402718793610567,2.36184336929223,2.00727633026029,2.88786528083921
"15",2020-03-03,"Sweden",1,14,4659.80612621656,2470.46975930152,7643.49791592035,659.026315891224,402.610847793692,983.742079114149,0,0,1.02165035640037,0.433660980187973,1.82817357516679,1.0216503564002,0.433660980187905,1.82817357516647,0.293131093531156,0.127731438804736,0.519936065111611,2.36171125872934,2.00714162049449,2.88774377059157
"16",2020-03-04,"Sweden",9,23,5416.80065832647,2942.44760802473,8747.65828871712,756.994532109908,471.977848723212,1104.16037279678,0,0,1.39356705618447,0.599321437282083,2.48298282593738,1.3935670561843,0.599321437282015,2.48298282593706,0.371916699784096,0.16566045709411,0.654809250770587,2.36155930452629,2.00699103737057,2.88759815824211
"17",2020-03-05,"Sweden",11,34,6286.59009844805,3495.63357671266,9986.26966617153,869.789440121582,553.185968687932,1238.61137745441,0,0,1.85653925347156,0.809136234542484,3.29109688559839,1.85653925347139,0.809136234542416,3.29109688559807,0.462972197287094,0.209814797260401,0.808114059661013,2.361384465841,2.00682270203902,2.88742366576289
"18",2020-03-06,"Sweden",26,60,7286.27720080408,4143.9916484181,11379.9331422114,999.687102356028,648.358071705433,1393.66347603988,0,0,2.42411317648786,1.07074799871094,4.27209850778703,2.42411317648769,1.07074799871087,4.2720985077867,0.567573923016301,0.261611764168456,0.981001622188635,2.36118323073307,2.00663451998345,2.88721456868793
"19",2020-03-07,"Sweden",76,136,8435.6002513951,4904.58673463067,12974.3613442522,1149.32305059101,760.59508621257,1594.42820204079,0,0,3.11129209511325,1.39345867854113,5.44684882153804,3.11129209511308,1.39345867854107,5.44684882153772,0.687178918625391,0.322710679830194,1.17475031375101,2.36095153982829,2.00642415362251,2.88696400890554
"20",2020-03-08,"Sweden",24,160,9757.34721694413,5809.001565045,14798.3859357917,1321.74696554903,904.414830414339,1824.02459153948,0,0,3.93471540280399,1.78805889906161,6.83760217956308,3.93471540280382,1.78805889906154,6.83760217956275,0.823423307690737,0.394600220520476,1.39075335802504,2.360684698528,2.00618899253753,2.88666377099387
"21",2020-03-09,"Sweden",42,202,11277.834401625,6878.59687637384,16863.5651514151,1520.48718468086,1069.59531132884,2065.17921562344,0,0,4.91323131693457,2.26729012107621,8.46863437260845,4.91323131693439,2.26729012107614,8.46863437260813,0.978515914130576,0.479231222014601,1.63103219304538,2.36037727556888,2.00592612103895,2.88630401472719
"22",2020-03-10,"Sweden",45,247,12973.1938964536,8110.1161075542,19073.4057329166,1695.35949482864,1231.51923118036,2209.84058150151,0,0,6.06783684322056,2.845931040517,10.3679537426123,6.06783684322038,2.84593104051693,10.367953742612,1.15460552628599,0.578640919440787,1.89931937000383,2.29179674997739,1.95166583450301,2.76189931886832
"23",2020-03-11,"Sweden",78,325,14921.3981436889,9561.29750482248,21631.7765829445,1948.2042472353,1451.18139726828,2558.37085002784,0,0,7.42249118733765,3.54381081448497,12.5661319072575,7.42249242915939,3.54381170318112,12.5661347499066,1.3546543441171,0.697879773967977,2.19817816464517,2.29141376263604,1.95129830768261,2.76157432281638
"24",2020-03-12,"Sweden",136,461,17155.3393533096,11240.1038429092,24558.1199040271,2233.94120962063,1678.8063380867,2926.34332108268,1,1,9.00483763427325,4.38434912572857,15.0968699072789,9.00482485119132,4.38433395703918,15.096878634023,1.58234644693559,0.840538311243597,2.53073800002148,2.29097308464511,1.95088897264526,2.76118622150632
"25",2020-03-13,"Sweden",158,619,19713.9637210354,13188.3664242747,27895.7791667292,2558.62436772582,1948.2625813655,3337.65926270207,0,1,10.8461932871695,5.38669858405704,17.9971345690291,10.8458130363166,5.38639915346229,17.9968738005441,1.84135565289621,1.00234945832847,2.90026466175019,2.29046704323415,1.95043332940259,2.76072421826013
"26",2020-03-14,"Sweden",155,774,22643.4867069381,15435.532687157,31697.6158125579,2929.52298590274,2247.16626288229,3801.83664582869,0,1,12.9824651394539,6.57362214439499,21.3082690444522,12.979335687903,6.5711905794478,21.3055465894522,2.13627185228448,1.18692356033795,3.31113447542311,2.28988656112863,1.9499263261637,2.76017516151909
"27",2020-03-15,"Sweden",149,923,25997.8350194928,18057.1355740122,36105.3569705904,3354.34831255468,2621.60288685523,4407.74115803247,0,1,15.455198471382,7.98346151534662,25.0791655871889,15.4403457585268,7.97101029513015,25.065105516088,2.47273333192805,1.40983937095163,3.77089654273668,2.2892208779722,1.94936228438391,2.75952305241205
"28",2020-03-16,"Sweden",108,1031,29676.4238301126,20885.925417668,40961.1955271975,3678.58881061977,2828.78984365581,4855.83855660712,2,3,18.3114066180826,9.65705341966589,29.3952320316981,18.2617016737374,9.61517278197515,29.3420432751696,2.85620814670062,1.67359190431927,4.31606644450917,2.19527352858372,1.88499761795335,2.50756761372006
"29",2020-03-17,"Sweden",89,1120,33880.1659783301,24136.7211355142,46533.5853760516,4203.74214821751,3250.79571784622,5572.38984885412,4,7,21.6048287036448,11.6405464689086,34.3301475728305,21.4716555252492,11.5283044766144,34.1816044170884,3.29342208556224,1.98349304924268,4.93491554113245,2.19447277636456,1.88432732628593,2.50666003446468
"30",2020-03-18,"Sweden",46,1166,38668.9858707278,27872.2646458261,52875.59040156,4788.81989239776,3735.5435103119,6342.00502550836,1,8,25.3968864651797,13.9883095220285,39.9622564745008,25.0903272395426,13.7292616541195,39.6113006088751,3.79205776153488,2.34776305311989,5.63210890167025,2.19355702968945,1.88358295983494,2.5056039347637
"31",2020-03-19,"Sweden",134,1300,44114.3439095935,32163.9483063722,59990.2545654079,5445.35803886563,4291.68366054606,7114.66416384793,2,10,29.7575710686903,16.7639884210477,46.3578699518548,29.1311315860063,16.2321613440103,45.6510235984892,4.36068460351062,2.77567889901924,6.39561347735399,2.19251290960376,1.88275822863796,2.50437429352913
"32",2020-03-20,"Sweden",122,1422,50301.7457408219,37032.9581551955,68147.0464829387,6187.40183122845,4869.00984882331,8156.79191753079,0,10,34.7662638023319,20.065374672757,53.5475987975694,33.5960372184405,19.0425536952854,52.2430673723918,5.00869273364154,3.30138625170931,7.18972884571458,2.19132449651337,1.88184579111186,2.5029422428021
"33",2020-03-21,"Sweden",200,1622,57330.7954625211,42486.8662470767,77532.9270959282,7029.04972169923,5453.90809188121,9385.88061298951,6,16,40.5133478377263,23.9755805343258,61.6237631522822,38.478354040899,22.1593832686937,59.371993418577,5.74708403539438,3.91020586156877,8.07616435471288,2.1899727876753,1.8808370311719,2.50127449968023
"34",2020-03-22,"Sweden",123,1745,65315.614835968,48589.512658112,88330.7031788965,7984.81937344682,6102.64641103533,10797.7760829683,4,20,47.1009187160832,28.5957569748012,70.7318562693199,43.7619140360281,25.5743141647243,67.0406237936339,6.58757087835693,4.62017644047546,9.10809311703765,2.1884356629428,1.87972214463476,2.49933257026606
"35",2020-03-23,"Sweden",160,1905,74385.9780426073,55417.2690718941,100755.652762368,9070.36320663931,6827.75641378211,12424.9495834716,1,21,54.6439920657208,34.0396667542259,81.0064617385037,49.4221178414444,29.2801665895961,75.2170685186677,7.54307334963758,5.44390977942466,10.2746054691839,2.18668777063992,1.87849019624033,2.49707186854989
"36",2020-03-24,"Sweden",110,2015,84689.0044862713,63061.7705293505,115164.712526806,10303.0264436641,7644.5014574563,14409.0597644379,4,25,63.2729550882879,40.4166966740882,92.5864692880536,55.4288501676515,33.2638473160718,83.8572771728209,8.62896302256716,6.37702991986226,11.5800075495499,2.18470026077169,1.87712910495006,2.49444075342124
"37",2020-03-25,"Sweden",256,2271,96391.2372436449,71657.9686198453,131788.141725938,11702.2327573736,8596.19809049489,16623.4291991316,11,36,73.1348536089992,47.8642844552626,105.627619666616,61.7425687833913,37.4844732568323,92.9048867629352,9.86189852071131,7.44758778117444,13.041150378562,2.18244039828033,1.8756255768299,2.49137946065915
"38",2020-03-26,"Sweden",238,2509,109681.008308195,81247.647040674,150887.653723017,13289.7710645499,9589.6784208287,19099.5119970789,6,42,84.3959948135834,56.5399298412984,120.301590295057,68.3234590347867,41.9127134600004,102.303278104349,11.2611412045842,8.6756453860358,14.6739706284414,2.17987109202157,1.87396500761564,2.48781890860815
"39",2020-03-27,"Sweden",296,2805,124771.047462521,91938.5389881785,172944.847926591,15090.0391543265,10690.8919475045,22057.1942035749,24,66,97.2449206429695,66.521135904961,136.800462032697,75.1296127822263,46.5171680950897,111.993378429778,12.8489258293861,9.98120606366254,16.4988717376401,2.17695035978301,1.87213136850238,2.48367936308152
"40",2020-03-28,"Sweden",240,3045,141901.316763128,103849.504878612,198428.570237835,17130.2693006067,11910.9658904339,25483.7223112434,26,92,111.895090330928,77.9742091180716,155.338452672256,82.1169817355776,51.2644069910062,121.913551392328,14.6501696879587,11.4530732131107,18.5379906395592,2.17363073813463,1.87010708161713,2.47886895361608
"41",2020-03-29,"Sweden",401,3446,151728.692435216,110696.42361289,211220.465106264,9827.3756720881,6846.9187342779,12791.8948684291,10,102,128.588739500875,91.1858628351433,176.304657927167,89.2412430207874,56.1204013946902,132.002180093591,16.6936491699471,13.2116537170717,20.9662052549107,1.11327464513479,0.848658284766163,1.36744475477113
"42",2020-03-30,"Sweden",253,3699,162680.046740505,118325.871309801,225474.286137339,10951.3543052888,7629.44769691055,14253.821031075,8,110,147.599858257723,106.601088482125,199.908914444723,96.4592982404541,61.0086905428881,142.199521137338,19.0111187568479,15.4152256469813,23.6042565175555,1.11217089435154,0.847859267783327,1.36594759375214
"43",2020-03-31,"Sweden",328,4027,174399.528448908,126448.185228715,240727.115665704,11719.4817084032,8122.31391891372,15252.8295283651,36,146,169.23726138708,124.493335534975,226.328054376263,103.729184379493,65.8893256461526,152.447698781336,21.6374031293569,17.8922470528502,26.4191399315399,1.11094132297226,0.846955955582519,1.36427320120672
"44",2020-04-01,"Sweden",407,4434,186598.226455615,134826.323177967,256807.958983109,12198.6980067073,8378.13794925287,16080.8433174047,34,180,193.839193278729,145.041657247185,256.064721148214,111.013608339106,70.7335122615309,162.695282986636,24.6019318916491,20.5483217122102,29.7366667719519,1.10962481828576,0.845994084863374,1.36245671386789
"45",2020-04-02,"Sweden",512,4946,199109.295857297,143313.225245114,273555.225456891,12511.0694016821,8486.90206714631,16747.2664737822,59,239,221.758833538908,168.396465807123,289.792606785736,118.277869489477,75.5446144545567,172.968965732984,27.9196402601787,23.354808559938,33.727885637522,1.10825288777065,0.845011859626189,1.36052527735513
"46",2020-04-03,"Sweden",519,5465,211852.398614638,151836.476247814,290670.237473378,12743.1027573401,8523.25100270019,17115.0120164866,43,282,253.349532494579,194.809555383653,327.895809065018,125.488622150509,80.2819670310535,183.254523020519,31.5906989556714,26.4130895765299,38.103202279282,1.10684363824558,0.844032464509291,1.35849232081819
"47",2020-04-04,"Sweden",612,6077,224795.466367994,160401.66870955,308336.394539213,12943.0677533567,8565.19246173647,17666.1570658356,51,333,288.944904153144,224.549731912807,371.023368982865,132.618480190889,84.9203452577468,193.517696165306,35.5953716585644,29.7401765291539,43.1275599178464,1.10540570545566,0.843067897675692,1.35638623619072
"48",2020-04-05,"Sweden",365,6442,237929.568418664,169036.073030237,326511.464390231,13134.1020506695,8634.40432068626,18175.0698510179,40,373,328.834986400081,257.703124463435,419.725257143491,139.643316826009,89.4426747662293,203.727491952394,39.8900822469375,33.1533925506279,48.7018881606262,1.10394245806878,0.842123535755331,1.35419212182007
"49",2020-04-06,"Sweden",387,6829,251255.364801693,177685.884417003,345147.070796351,13325.7963830292,8649.81138676623,18635.6064061197,28,401,373.275092657569,294.442385312649,474.110322657329,146.539156558792,93.8320287969097,213.852961618938,44.4401062574872,36.7392608492144,54.385065513838,1.10245475108664,0.841201331181612,1.35189844222948
"50",2020-04-07,"Sweden",376,7205,264776.772776119,186228.19419792,364251.883523977,13521.4079744262,8542.30978091679,19104.8127276265,76,477,422.452989347337,334.956412947575,534.381770296017,153.288181280662,98.0768066948423,223.869727929547,49.1778966897683,40.5140276349257,60.2714476386884,1.10094240406337,0.840301659013964,1.34950147020687
"51",2020-04-08,"Sweden",487,7692,278498.405129858,194665.969586863,383900.65168916,13721.6323537384,8437.77538894295,19648.7681651828,114,591,476.501866144838,379.639362480215,600.692207860577,159.875155916948,102.178068782805,233.757796996069,54.0488767975016,44.6829495326396,66.3104375645592,1.09940488863259,0.839424257688772,1.34705047733961
"52",2020-04-09,"Sweden",726,8418,292424.727246947,202989.305159135,404484.861368784,13926.322117089,8323.3355722728,20584.2096796238,96,687,535.495714456452,428.448088636813,673.11580789775,166.288272812947,106.133964283528,243.533133435861,58.9938483116137,48.8087261565989,72.4236000371737,1.09784160451798,0.838568657080703,1.34483671804762
"53",2020-04-10,"Sweden",722,9140,306559.887983095,211196.404867423,425969.995707315,14135.1607361488,8207.09970828774,21485.1343385313,106,793,599.453964297668,481.719432662061,751.65398842814,172.517702978614,109.939149938705,253.209662993872,63.9582498412159,53.2713440252479,78.5381805303901,1.09625196916371,0.837734349118991,1.34252461896719
"54",2020-04-11,"Sweden",544,9684,320907.75939209,219297.960670813,448263.639024659,14347.8714089944,8101.55580338989,22293.6433173436,77,870,668.353567299112,539.558835518521,836.38567743556,178.557186251528,113.589841100787,262.773035108641,68.8996030014442,57.83940285646,84.7316890074193,1.09463543497782,0.836920842819049,1.34011054256009
"55",2020-04-12,"Sweden",466,10150,335472.008196005,227295.808239595,471390.473174781,14564.2488039152,7997.8475687823,23126.8341501224,17,887,742.104565991224,601.901777424865,927.339694606961,184.400381408833,117.082133754957,272.208400442667,73.7509986921122,62.3429419063433,90.9540171714014,1.0929914845673,0.836127674021528,1.33759080968526
"56",2020-04-13,"Sweden",332,10482,350256.14691593,235182.193161391,495379.504244524,14784.1387199252,7886.38492179595,23989.0310697424,12,899,820.607772802283,668.523836840162,1024.3934520717,190.043491837443,120.415308988895,281.437393363704,78.5032068110584,66.6220594152975,97.0537574647361,1.09131962295417,0.835354400990661,1.33496169900362
"57",2020-04-14,"Sweden",465,10947,365263.558710924,242958.967603001,520252.381771774,15007.4117949942,7776.77444160944,24872.8775272507,20,919,903.737057552399,739.148388909219,1127.38661395951,195.486497764634,123.591516950954,290.452066244856,83.1292847501162,70.6245520690565,102.993161887814,1.08961937223192,0.834600597873839,1.33221945049597
"58",2020-04-15,"Sweden",497,11444,380497.502667814,250627.994278974,546030.351993606,15233.9439568898,7669.02667597355,25777.9702218315,114,1033,991.340389583591,813.559937904099,1236.122028881,200.72815757894,126.611836996135,299.290388315114,87.6033320311914,74.4115489948807,108.735414921485,1.08789026919068,0.833865849646306,1.32936027226237
"59",2020-04-16,"Sweden",482,11926,395961.107061491,258191.096959707,572734.161056272,15463.6043936773,7563.10268073312,26703.8090626662,170,1203,1083.25007320412,891.391445685362,1350.37876676535,205.770427198505,129.469869151963,307.983881738104,91.909683620534,77.8315077812626,114.256737884355,1.08613186512047,0.833149748992963,1.32638034967551
"60",2020-04-17,"Sweden",613,12539,411657.355857833,265650.066834836,600522.453782011,15696.2487963415,7458.96987512901,27788.2927257394,130,1333,1179.29300418904,972.367311302793,1469.92600426317,210.617046753176,132.172749693122,316.539362400409,96.0429309849149,80.9758656174311,119.547237497819,1.08434372695283,0.83245189465559,1.32327585627927
"61",2020-04-18,"Sweden",676,13215,427589.071511326,273006.665119975,629425.358896721,15931.7156534927,7356.59828513811,28902.9051147097,67,1400,1279.28959955119,1055.92136549439,1593.5198185244,215.270543033114,134.713509525643,324.952260484135,99.996595362151,83.5540541915948,123.593814261227,1.08252543916237,0.83177189068594,1.32004296612132
"62",2020-04-19,"Sweden",606,13821,443758.895617446,280262.623883516,659471.154971241,16169.8241061201,7255.95876354178,30045.7960745204,111,1511,1383.07750611647,1142.47652639401,1721.50167136015,219.735204644304,137.094059911165,333.220251811191,103.787906565278,86.5551608996217,127.98185283575,1.0806766060973,0.83110934619089,1.31667786739437
"63",2020-04-20,"Sweden",563,14384,460169.268142821,287340.328932326,690687.274940039,16410.3725253749,7077.70504880971,31216.1199687981,29,1540,1490.49671995802,1230.5370869768,1854.78842038106,224.014796353588,139.320660370818,341.340543575992,107.419213841555,88.0605605827936,133.28674902091,1.07879685457166,0.830463875315921,1.31317677735498
"64",2020-04-21,"Sweden",392,14776,476822.405545739,294246.447464107,723100.128321441,16653.1374029185,6906.11853178073,32412.8533814018,40,1580,1601.38306606957,1320.50498593815,1991.22699423067,228.114541668346,141.400812168909,349.312291180406,110.886346111551,89.9678989613443,136.438573849612,1.0768858366427,0.829835097328755,1.30953595852652
"65",2020-04-22,"Sweden",545,15321,493720.27792539,300998.5993695,756734.913027446,16897.8723796511,6752.15190539325,33634.7847060043,185,1765,1715.59982755855,1412.2274052759,2132.43088836894,232.040214950714,143.341654688449,357.119499088656,114.21676148898,91.722419337756,141.203894138269,1.07494323254016,0.829222636735006,1.3057517362007
"66",2020-04-23,"Sweden",682,16003,510864.585280567,307599.927211939,791615.417239808,17144.3073551772,6601.327842439,34880.5042123624,172,1937,1833.02073492151,1505.62660581847,2279.70984924736,235.79772010777,145.150141664756,364.755242717825,117.420907362951,93.3992005425631,147.278960878418,1.07296875373255,0.828626123395521,1.30182051724673
"67",2020-04-24,"Sweden",751,16754,528256.732952799,314053.529311491,827763.812012012,17392.147672232,6453.6020995524,36148.3947722039,84,2021,1953.50970585692,1600.91411427996,2433.49702902075,239.392726223575,146.833590881218,372.220612716269,120.488970935415,95.2875084614927,153.787179773396,1.07096214612086,0.828045192633602,1.29757602770546
